payment_id,customer_id,amount,payment_date,status
1,1,6718.02,2026-08-10,Paid
2,1,6718.02,2026-07-11,Paid
3,1,6718.02,2026-06-11,Paid
4,1,6718.02,2026-05-12,Paid
5,1,6718.02,2026-04-12,Paid
6,1,6718.02,2026-03-13,Paid
7,2,1544.5,2026-08-10,Paid
8,2,1544.5,2026-07-11,Paid
9,2,1544.5,2026-06-11,Paid
10,2,1544.5,2026-05-12,Paid
11,2,1544.5,2026-04-12,Late
12,2,1544.5,2026-03-13,Paid
13,3,2269.57,2026-08-10,Paid
14,3,2269.57,2026-07-11,Paid
15,3,2269.57,2026-06-11,Paid
16,3,2269.57,2026-05-12,Paid
17,3,2269.57,2026-04-12,Paid
18,3,2269.57,2026-03-13,Paid
19,4,460.89,2026-08-10,Paid
20,4,460.89,2026-07-11,Paid
21,4,460.89,2026-06-11,Paid
22,4,460.89,2026-05-12,Late
23,4,460.89,2026-04-12,Paid
24,4,460.89,2026-03-13,Paid
25,5,5489.22,2026-08-10,Paid
26,5,5489.22,2026-07-11,Paid
27,5,5489.22,2026-06-11,Failed
28,5,5489.22,2026-05-12,Paid
29,5,5489.22,2026-04-12,Paid
30,5,5489.22,2026-03-13,Late
31,6,7142.27,2026-08-10,Paid
32,6,7142.27,2026-07-11,Paid
33,6,7142.27,2026-06-11,Paid
34,6,7142.27,2026-05-12,Paid
35,6,7142.27,2026-04-12,Paid
36,6,7142.27,2026-03-13,Paid
37,7,31604.65,2026-08-10,Paid
38,7,31604.65,2026-07-11,Paid
39,7,31604.65,2026-06-11,Paid
40,7,31604.65,2026-05-12,Paid
41,7,31604.65,2026-04-12,Paid
42,7,31604.65,2026-03-13,Paid
43,8,2012.02,2026-08-10,Paid
44,8,2012.02,2026-07-11,Paid
45,8,2012.02,2026-06-11,Paid
46,8,2012.02,2026-05-12,Paid
47,8,2012.02,2026-04-12,Late
48,8,2012.02,2026-03-13,Paid
49,9,577.86,2026-08-10,Paid
50,9,577.86,2026-07-11,Paid
51,9,577.86,2026-06-11,Paid
52,9,577.86,2026-05-12,Paid
53,9,577.86,2026-04-12,Paid
54,9,577.86,2026-03-13,Paid
55,10,6644.16,2026-08-10,Paid
56,10,6644.16,2026-07-11,Late
57,10,6644.16,2026-06-11,Paid
58,10,6644.16,2026-05-12,Paid
59,10,6644.16,2026-04-12,Paid
60,10,6644.16,2026-03-13,Paid
61,11,10960.01,2026-08-10,Paid
62,11,10960.01,2026-07-11,Paid
63,11,10960.01,2026-06-11,Paid
64,11,10960.01,2026-05-12,Late
65,11,10960.01,2026-04-12,Paid
66,11,10960.01,2026-03-13,Paid
67,12,37848.39,2026-08-10,Paid
68,12,37848.39,2026-07-11,Paid
69,12,37848.39,2026-06-11,Paid
70,12,37848.39,2026-05-12,Paid
71,12,37848.39,2026-04-12,Paid
72,12,37848.39,2026-03-13,Paid
73,13,2518.05,2026-08-10,Paid
74,13,2518.05,2026-07-11,Paid
75,13,2518.05,2026-06-11,Paid
76,13,2518.05,2026-05-12,Paid
77,13,2518.05,2026-04-12,Paid
78,13,2518.05,2026-03-13,Paid
79,14,36843.92,2026-08-10,Paid
80,14,36843.92,2026-07-11,Paid
81,14,36843.92,2026-06-11,Paid
82,14,36843.92,2026-05-12,Paid
83,14,36843.92,2026-04-12,Paid
84,14,36843.92,2026-03-13,Paid
85,15,1476.14,2026-08-10,Paid
86,15,1476.14,2026-07-11,Paid
87,15,1476.14,2026-06-11,Paid
88,15,1476.14,2026-05-12,Paid
89,15,1476.14,2026-04-12,Paid
90,15,1476.14,2026-03-13,Paid
91,16,765.84,2026-08-10,Paid
92,16,765.84,2026-07-11,Paid
93,16,765.84,2026-06-11,Paid
94,16,765.84,2026-05-12,Paid
95,16,765.84,2026-04-12,Paid
96,16,765.84,2026-03-13,Paid
97,17,6133.55,2026-08-10,Paid
98,17,6133.55,2026-07-11,Paid
99,17,6133.55,2026-06-11,Paid
100,17,6133.55,2026-05-12,Paid
101,17,6133.55,2026-04-12,Paid
102,17,6133.55,2026-03-13,Paid
103,18,3104.6,2026-08-10,Late
104,18,3104.6,2026-07-11,Late
105,18,3104.6,2026-06-11,Paid
106,18,3104.6,2026-05-12,Late
107,18,3104.6,2026-04-12,Late
108,18,3104.6,2026-03-13,Failed
109,19,1563.6,2026-08-10,Paid
110,19,1563.6,2026-07-11,Paid
111,19,1563.6,2026-06-11,Paid
112,19,1563.6,2026-05-12,Paid
113,19,1563.6,2026-04-12,Paid
114,19,1563.6,2026-03-13,Paid
115,20,6933.33,2026-08-10,Paid
116,20,6933.33,2026-07-11,Paid
117,20,6933.33,2026-06-11,Paid
118,20,6933.33,2026-05-12,Paid
119,20,6933.33,2026-04-12,Paid
120,20,6933.33,2026-03-13,Paid
121,21,18848.44,2026-08-10,Paid
122,21,18848.44,2026-07-11,Paid
123,21,18848.44,2026-06-11,Failed
124,21,18848.44,2026-05-12,Late
125,21,18848.44,2026-04-12,Failed
126,21,18848.44,2026-03-13,Failed
127,22,1877.28,2026-08-10,Paid
128,22,1877.28,2026-07-11,Paid
129,22,1877.28,2026-06-11,Paid
130,22,1877.28,2026-05-12,Paid
131,22,1877.28,2026-04-12,Paid
132,22,1877.28,2026-03-13,Paid
133,23,1076.05,2026-08-10,Late
134,23,1076.05,2026-07-11,Late
135,23,1076.05,2026-06-11,Paid
136,23,1076.05,2026-05-12,Paid
137,23,1076.05,2026-04-12,Paid
138,23,1076.05,2026-03-13,Late
139,24,827.71,2026-08-10,Paid
140,24,827.71,2026-07-11,Late
141,24,827.71,2026-06-11,Paid
142,24,827.71,2026-05-12,Paid
143,24,827.71,2026-04-12,Paid
144,24,827.71,2026-03-13,Paid
145,25,7694.73,2026-08-10,Paid
146,25,7694.73,2026-07-11,Paid
147,25,7694.73,2026-06-11,Paid
148,25,7694.73,2026-05-12,Paid
149,25,7694.73,2026-04-12,Paid
150,25,7694.73,2026-03-13,Paid
151,26,1265.88,2026-08-10,Paid
152,26,1265.88,2026-07-11,Paid
153,26,1265.88,2026-06-11,Paid
154,26,1265.88,2026-05-12,Paid
155,26,1265.88,2026-04-12,Paid
156,26,1265.88,2026-03-13,Late
157,27,11988.3,2026-08-10,Late
158,27,11988.3,2026-07-11,Paid
159,27,11988.3,2026-06-11,Paid
160,27,11988.3,2026-05-12,Paid
161,27,11988.3,2026-04-12,Paid
162,27,11988.3,2026-03-13,Paid
163,28,28213.63,2026-08-10,Paid
164,28,28213.63,2026-07-11,Paid
165,28,28213.63,2026-06-11,Paid
166,28,28213.63,2026-05-12,Paid
167,28,28213.63,2026-04-12,Paid
168,28,28213.63,2026-03-13,Paid
169,29,1298.52,2026-08-10,Paid
170,29,1298.52,2026-07-11,Paid
171,29,1298.52,2026-06-11,Paid
172,29,1298.52,2026-05-12,Paid
173,29,1298.52,2026-04-12,Paid
174,29,1298.52,2026-03-13,Paid
175,30,6344.02,2026-08-10,Paid
176,30,6344.02,2026-07-11,Paid
177,30,6344.02,2026-06-11,Paid
178,30,6344.02,2026-05-12,Paid
179,30,6344.02,2026-04-12,Paid
180,30,6344.02,2026-03-13,Paid
181,31,12051.74,2026-08-10,Late
182,31,12051.74,2026-07-11,Late
183,31,12051.74,2026-06-11,Paid
184,31,12051.74,2026-05-12,Late
185,31,12051.74,2026-04-12,Paid
186,31,12051.74,2026-03-13,Paid
187,32,2006.36,2026-08-10,Failed
188,32,2006.36,2026-07-11,Paid
189,32,2006.36,2026-06-11,Paid
190,32,2006.36,2026-05-12,Late
191,32,2006.36,2026-04-12,Failed
192,32,2006.36,2026-03-13,Failed
193,33,14288.4,2026-08-10,Paid
