subscription_id,customer_id,plan,annual_contract_value,contract_start_date,renewal_date,status
1,1,Professional,80616.29,2025-08-17,2027-04-20,Active
2,2,Growth,18533.99,2025-10-05,2027-03-14,Active
3,3,Growth,27234.79,2024-06-01,2027-08-16,Active
4,4,Starter,5530.72,2026-01-07,2027-02-15,Active
5,5,Professional,65870.61,2025-02-04,2026-09-11,At Risk
6,6,Professional,85707.28,2026-02-12,2027-11-22,Active
7,7,Professional,379255.76,2024-06-28,2027-01-05,Active
8,8,Growth,24144.26,2024-10-26,2027-02-24,Active
9,9,Starter,6934.33,2025-07-09,2027-02-26,Active
10,10,Growth,79729.88,2024-02-20,2027-01-09,Active
11,11,Professional,131520.08,2026-01-08,2026-11-29,Active
12,12,Professional,454180.7,2025-09-12,2027-08-17,Active
13,13,Professional,30216.64,2025-05-08,2027-09-17,Active
14,14,Professional,442127.09,2025-01-19,2027-09-16,Active
15,15,Starter,17713.69,2024-08-24,2027-01-21,Active
16,16,Growth,9190.14,2025-06-30,2027-06-29,Active
17,17,Professional,73602.65,2024-11-20,2027-07-06,Active
18,18,Growth,37255.19,2024-01-20,2026-11-01,At Risk
19,19,Starter,18763.24,2026-01-04,2027-05-19,Active
20,20,Professional,83199.99,2025-02-06,2027-02-05,Active
21,21,Professional,226181.22,2026-01-01,2026-12-04,At Risk
22,22,Growth,22527.35,2024-03-17,2027-02-12,Active
23,23,Starter,12912.64,2024-12-14,2026-10-23,Active
24,24,Growth,9932.55,2024-11-28,2027-02-24,Active
25,25,Professional,92336.72,2025-11-25,2027-02-28,Active
26,26,Growth,15190.53,2024-05-16,2027-04-02,Active
27,27,Professional,143859.65,2024-11-27,2026-12-20,Active
28,28,Enterprise,338563.61,2025-08-29,2027-03-18,Active
29,29,Growth,15582.29,2026-01-04,2027-10-24,Active
30,30,Growth,76128.28,2024-08-21,2027-09-07,Active
31,31,Professional,144620.87,2024-12-14,2026-11-10,At Risk
32,32,Starter,24076.32,2024-09-13,2026-11-02,At Risk
33,33,Enterprise,171460.75,2025-11-18,2027-11-10,Active
34,34,Professional,436667.74,2024-01-01,2027-09-22,Active
35,35,Starter,15787.58,2024-01-18,2026-12-22,Active
36,36,Professional,26460.76,2026-03-27,2026-11-10,At Risk
37,37,Enterprise,422709.92,2024-07-15,2026-12-01,Active
38,38,Starter,23938.99,2024-08-18,2027-10-31,Active
39,39,Professional,98348.84,2024-12-19,2027-03-18,Active
40,40,Growth,23936.97,2024-07-24,2026-12-25,Active
41,41,Growth,13462.76,2025-09-04,2027-04-02,Active
42,42,Professional,391972.43,2025-07-12,2027-02-02,Active
43,43,Growth,99636.2,2024-06-06,2027-01-07,Active
44,44,Professional,58861.46,2025-02-16,2027-07-08,Active
45,45,Growth,5420.69,2025-01-22,2027-03-22,Active
46,46,Professional,30324.48,2024-08-29,2027-02-19,Active
47,47,Growth,22192.71,2023-12-12,2027-04-10,Active
48,48,Professional,75173.33,2024-04-21,2027-06-02,Active
49,49,Growth,95163.57,2025-12-30,2027-06-15,Active
50,50,Growth,21149.94,2025-06-20,2027-04-10,Active
