event_id,customer_id,user_id,event_type,event_date
1,1,9,dashboard_view,2026-02-27
2,1,5,login,2026-03-10
3,1,10,integration_used,2026-03-01
4,1,14,dashboard_view,2026-03-06
5,1,11,integration_used,2026-02-12
6,1,24,dashboard_view,2026-03-03
7,1,25,export,2026-03-08
8,1,17,export,2026-02-27
9,1,10,login,2026-02-26
10,1,3,integration_used,2026-03-01
11,1,15,dashboard_view,2026-03-06
12,1,19,login,2026-03-02
13,1,2,export,2026-03-04
14,1,20,export,2026-02-13
15,1,10,login,2026-02-24
16,1,4,dashboard_view,2026-02-28
17,1,9,report_created,2026-02-18
18,1,25,report_created,2026-03-01
19,1,2,login,2026-03-01
20,1,19,dashboard_view,2026-02-24
21,1,12,report_created,2026-02-24
22,1,3,integration_used,2026-03-01
23,1,15,integration_used,2026-02-17
24,1,9,integration_used,2026-02-15
25,1,22,login,2026-02-22
26,1,5,export,2026-03-10
27,1,12,report_created,2026-02-16
28,1,18,dashboard_view,2026-03-02
29,1,7,integration_used,2026-02-22
30,1,13,login,2026-02-25
31,1,2,dashboard_view,2026-03-12
32,1,23,export,2026-03-03
33,1,17,dashboard_view,2026-02-27
34,1,20,integration_used,2026-02-13
35,1,5,integration_used,2026-03-03
36,1,11,export,2026-03-08
37,1,20,report_created,2026-02-18
38,1,19,integration_used,2026-03-03
39,1,23,report_created,2026-03-25
40,1,16,login,2026-03-17
41,1,12,login,2026-04-02
42,1,14,report_created,2026-03-25
43,1,24,login,2026-03-16
44,1,20,report_created,2026-03-28
45,1,21,integration_used,2026-03-18
46,1,19,login,2026-04-05
47,1,19,dashboard_view,2026-03-28
48,1,17,integration_used,2026-03-23
49,1,25,export,2026-03-17
50,1,5,dashboard_view,2026-03-17
51,1,2,login,2026-03-25
52,1,7,export,2026-04-12
53,1,11,dashboard_view,2026-03-30
54,1,14,dashboard_view,2026-03-21
55,1,14,integration_used,2026-03-27
56,1,16,login,2026-03-16
57,1,23,integration_used,2026-04-08
58,1,7,report_created,2026-03-26
59,1,22,integration_used,2026-03-28
60,1,13,dashboard_view,2026-04-02
61,1,15,integration_used,2026-03-14
62,1,11,report_created,2026-03-26
63,1,22,report_created,2026-03-19
64,1,20,dashboard_view,2026-03-28
65,1,8,integration_used,2026-04-04
66,1,10,report_created,2026-04-05
67,1,25,dashboard_view,2026-04-03
68,1,23,export,2026-03-21
69,1,11,report_created,2026-03-28
70,1,18,report_created,2026-03-14
71,1,10,integration_used,2026-04-09
72,1,22,export,2026-03-26
